,Fecha,Volumen
0,2021-01-01,1150
1,2021-01-02,761
2,2021-01-03,840
3,2021-01-04,744
4,2021-01-05,1045
5,2021-01-06,806
6,2021-01-07,989
7,2021-01-08,1225
8,2021-01-09,936
9,2021-01-10,805
10,2021-01-11,1007
11,2021-01-12,985
12,2021-01-13,1365
13,2021-01-14,841
14,2021-01-15,1181
15,2021-01-16,1410
16,2021-01-17,911
17,2021-01-18,360
18,2021-01-19,534
19,2021-01-20,1424
20,2021-01-21,835
21,2021-01-22,944
22,2021-01-23,1282
23,2021-01-24,722
24,2021-01-25,843
25,2021-01-26,1086
26,2021-01-27,884
27,2021-01-28,741
28,2021-01-29,776
29,2021-01-30,998
30,2021-01-31,1220
31,2021-02-01,815
32,2021-02-02,720
33,2021-02-03,1019
34,2021-02-04,1051
35,2021-02-05,1046
36,2021-02-06,641
37,2021-02-07,677
38,2021-02-08,687
39,2021-02-09,774
40,2021-02-10,1117
41,2021-02-11,906
42,2021-02-12,1132
43,2021-02-13,1101
44,2021-02-14,876
45,2021-02-15,888
46,2021-02-16,933
47,2021-02-17,1169
48,2021-02-18,1020
49,2021-02-19,901
50,2021-02-20,835
51,2021-02-21,655
52,2021-02-22,869
53,2021-02-23,892
54,2021-02-24,895
55,2021-02-25,885
56,2021-02-26,726
57,2021-02-27,988
58,2021-02-28,914
